key,en,ru,bel
en,EN,EN,EN
ru,RU,RU,RU
bel,BLR,BLR,BLR
english,"English",""
how_it_works,How it works, Как это работает, Як гэта працуе
team,Team,Команда,Каманда
contacts,Contacts,Контакты,Кантакты
services,Services,Услуги,Паслугі
services_description,"The main priority for our team is to provide quality solutions for the implementation of your ideas. Check out the list of services provided by Storks Solutions team.","Основным приоритетом для нашей команды является предоставление качественных решений для реализации ваших идей. Ознакомьтесь со списком услуг, предоставляемых командой Storks Solutions.","Галоўным прыярытэтам нашай каманды з'яўляецца прадастаўленне якасных рашэнняў для рэалізацыі вашых ідэй.Азнаёмцеся са спісам паслуг, якія прадстаўляе каманда Storks Solutions."
web_development_title,"Web development","Веб разработка","Вэб-распрацоўка"
web_development_desc,"Focus on building a quality solution that responds to business needs. We use a lean approach so we can quickly test, learn, and make changes in the development phase","Сосредоточьтесь на создании качественного решения, отвечающего потребностям бизнеса. Мы используем бережливый подход, поэтому мы можем быстро тестировать, учиться и вносить изменения на этапе разработки.","Засяродзьцеся на стварэнні якаснага рашэння, якое адпавядае патрэбам бізнесу. Мы выкарыстоўваем эканомны падыход, каб мы маглі хутка тэставаць, вучыцца і ўносіць змены на этапе распрацоўкі"
mobile_development_title,"Mobile app development","Разработка мобильных приложений","Распрацоўка мабільных прыкладанняў"
mobile_development_desc,"By putting together tech expertise and creativity, our programmers can craft a custom mobile application that will help your business develop.","Объединив технические знания и творческий подход, наши программисты могут создать индивидуальное мобильное приложение, которое поможет развитию вашего бизнеса.","Аб'яднаўшы тэхнічныя веды і творчы падыход, нашы праграмісты могуць стварыць індывідуальнае мабільнае прыкладанне, якое дапаможа развіццю Вашага бізнесу."
design_title,"UI/UX Design","UI/UX дизайн","UI / UX дызайн"
design_desc,"Focus on the usability of your digital product and create amazing user interfaces for different platforms and devices that will help you fulfill your strategy and goals.","Сосредоточьтесь на удобстве использования вашего цифрового продукта и создайте удивительные пользовательские интерфейсы для различных платформ и устройств, которые помогут вам реализовать вашу стратегию и цели.","Засяродзьцеся на зручнасці выкарыстання вашага лічбавага прадукту і стварыце дзіўныя карыстацкія інтэрфейсы для розных платформаў і прылад, якія дапамогуць вам рэалізаваць вашу стратэгію і мэты."
quality_assurance_title,"Quality assurance","Обеспечение качества","Забеспячэнне якасці"
quality_assurance_desc,"Our experienced QA specialists will ensure that your software solution is bug-free and performs perfectly before it gets to real users.","Наши опытные специалисты по контролю качества обеспечат отсутствие ошибок и безупречную работу вашего программного решения до того, как оно попадет к реальным пользователям.","Нашы вопытныя спецыялісты па кантролі якасці забяспечаць адсутнасць памылак і бездакорную працу вашага праграмнага рашэння да таго, як яно патрапіць да рэальных карыстальнікам."
api_integration_title,"API Integration","Интеграция API","Інтэграцыя API"
api_integration_desc,"By integrating APIs of different products, we can make separate pieces of your IT infrastructure work well together without compromising on security.","Интегрируя API различных продуктов, мы можем заставить отдельные части вашей ИТ-инфраструктуры работать вместе без ущерба для безопасности.","Інтэгруючы API розных прадуктаў, мы можам прымусіць асобныя часткі вашай ад-інфраструктуры працаваць разам без шкоды для бяспекі."
product_scaling_title,"Product Scaling","Масштабирование продукта","Маштабаванне прадукту"
